step	post	likelihood	prior	alpha.dogs	alpha.cows	alpha.asymp
1	-33.18291	-33.18291	0	0.3333333	0.3333333	0.3333333
200	-21.03837	-21.03837	0	0.001739079	0.2380085	0.7602524
400	-22.17133	-22.17133	0	0.07743077	0.09422526	0.828344
600	-22.45449	-22.45449	0	0.1502534	0.1373726	0.712374
800	-24.78999	-24.78999	0	0.2498523	0.1663352	0.5838126
1000	-22.91658	-22.91658	0	0.154758	0.1854446	0.6597974
1200	-23.00985	-23.00985	0	0.139522	0.03830813	0.8221699
1400	-21.39951	-21.39951	0	0.03884209	0.2232523	0.7379057
1600	-21.89432	-21.89432	0	0.1006655	0.1395378	0.7597967
1800	-22.13103	-22.13103	0	0.09887719	0.2054271	0.6956957
2000	-22.81977	-22.81977	0	0.06374627	0.3108501	0.6254037
2200	-21.73833	-21.73833	0	0.05727852	0.2359445	0.706777
2400	-22.11866	-22.11866	0	0.0758222	0.09772234	0.8264555
2600	-21.89196	-21.89196	0	0.01462178	0.3149448	0.6704334
2800	-21.32077	-21.32077	0	0.005738726	0.1607039	0.8335574
3000	-21.50937	-21.50937	0	0.0381859	0.2424417	0.7193724
3200	-23.9885	-23.9885	0	0.1718221	0.2325154	0.5956625
3400	-22.24434	-22.24434	0	0.09006347	0.2323766	0.6775599
3600	-22.20661	-22.20661	0	0.0007395019	0.3539805	0.64528
3800	-22.10499	-22.10499	0	0.0488035	0.2834077	0.6677888
4000	-21.65701	-21.65701	0	0.0538869	0.1342094	0.8119037
4200	-21.1813	-21.1813	0	0.02103854	0.1902357	0.7887258
4400	-22.06384	-22.06384	0	0.09753151	0.1997223	0.7027462
4600	-22.12733	-22.12733	0	0.01321209	0.3331842	0.6536037
4800	-21.93303	-21.93303	0	0.1030741	0.1301306	0.7667953
5000	-21.4253	-21.4253	0	0.04915413	0.1977852	0.7530606
5200	-21.67495	-21.67495	0	0.04433204	0.2514796	0.7041883
5400	-22.34015	-22.34015	0	0.1434269	0.1010276	0.7555454
5600	-21.30651	-21.30651	0	0.02484568	0.166735	0.8084193
5800	-21.65216	-21.65216	0	0.07465685	0.1545486	0.7707945
6000	-21.76914	-21.76914	0	0.08812596	0.1542193	0.7576548
6200	-22.17442	-22.17442	0	0.06062697	0.2717014	0.6676717
6400	-21.45131	-21.45131	0	0.001036158	0.2976944	0.7012694
6600	-22.18908	-22.18908	0	0.06891768	0.2605893	0.670493
6800	-21.78931	-21.78931	0	0.06237618	0.232739	0.7048848
7000	-21.47238	-21.47238	0	0.05474214	0.1674565	0.7778014
7200	-22.43299	-22.43299	0	0.1541049	0.1085255	0.7373696
7400	-23.45729	-23.45729	0	0.2418871	0.0639958	0.6941171
7600	-21.63732	-21.63732	0	0.01954244	0.2872303	0.6932272
7800	-23.11542	-23.11542	0	0.03885524	0.3583056	0.6028392
8000	-22.5117	-22.5117	0	0.05312465	0.3058671	0.6410082
8200	-21.38872	-21.38872	0	0.002131271	0.1553644	0.8425043
8400	-22.22634	-22.22634	0	0.07833333	0.2493525	0.6723142
8600	-22.662	-22.662	0	0.1228072	0.05932405	0.8178687
8800	-21.78388	-21.78388	0	0.04609384	0.1229644	0.8309418
9000	-23.25215	-23.25215	0	0.226186	0.06915997	0.704654
9200	-21.80889	-21.80889	0	0.07959809	0.2006902	0.7197118
9400	-21.72442	-21.72442	0	0.03799746	0.266984	0.6950185
9600	-21.67377	-21.67377	0	0.0583695	0.2255663	0.7160642
9800	-22.80756	-22.80756	0	0.04125202	0.3388251	0.6199229
10000	-22.31374	-22.31374	0	0.1367773	0.1472208	0.7160019
10200	-22.30317	-22.30317	0	0.05057555	0.2954007	0.6540237
10400	-22.95024	-22.95024	0	0.1283447	0.2297461	0.6419092
10600	-22.49912	-22.49912	0	0.1603429	0.1025079	0.7371492
10800	-23.68129	-23.68129	0	0.03882412	0.05880564	0.9023702
11000	-24.14226	-24.14226	0	0.08565959	0.3509978	0.5633426
11200	-22.18896	-22.18896	0	0.09151585	0.09197151	0.8165126
11400	-23.41097	-23.41097	0	0.209638	0.1338001	0.6565619
11600	-21.96865	-21.96865	0	0.09958028	0.1166412	0.7837785
11800	-22.64667	-22.64667	0	0.167526	0.1263944	0.7060795
12000	-22.54942	-22.54942	0	0.1337104	0.1871998	0.6790898
